linguagem,caso,tamanho_label,n,k,execucao,tempo_segundos,ordenado
rust,melhor,grande,1000000,1000000,1,0.003255100,true
rust,melhor,grande,1000000,1000000,2,0.003146200,true
rust,melhor,grande,1000000,1000000,3,0.003249600,true
rust,melhor,grande,1000000,1000000,4,0.003372700,true
rust,melhor,grande,1000000,1000000,5,0.003223000,true
rust,melhor,grande,1000000,1000000,6,0.003243600,true
rust,melhor,grande,1000000,1000000,7,0.003209000,true
rust,melhor,grande,1000000,1000000,8,0.003283400,true
rust,melhor,grande,1000000,1000000,9,0.003277900,true
rust,melhor,grande,1000000,1000000,10,0.003276900,true
rust,melhor,grande,1000000,1000000,11,0.003260900,true
rust,melhor,grande,1000000,1000000,12,0.003255500,true
rust,melhor,grande,1000000,1000000,13,0.003220900,true
rust,melhor,grande,1000000,1000000,14,0.003221400,true
rust,melhor,grande,1000000,1000000,15,0.003265900,true
rust,melhor,grande,1000000,1000000,16,0.003247200,true
rust,melhor,grande,1000000,1000000,17,0.003552200,true
rust,melhor,grande,1000000,1000000,18,0.003208900,true
rust,melhor,grande,1000000,1000000,19,0.003349000,true
rust,melhor,grande,1000000,1000000,20,0.003291900,true
rust,melhor,grande,1000000,1000000,21,0.003297600,true
rust,melhor,grande,1000000,1000000,22,0.003423600,true
rust,melhor,grande,1000000,1000000,23,0.003136800,true
rust,melhor,grande,1000000,1000000,24,0.003216500,true
rust,melhor,grande,1000000,1000000,25,0.003239800,true
rust,melhor,grande,1000000,1000000,26,0.003201000,true
rust,melhor,grande,1000000,1000000,27,0.003202400,true
rust,melhor,grande,1000000,1000000,28,0.003501300,true
rust,melhor,grande,1000000,1000000,29,0.003151700,true
rust,melhor,grande,1000000,1000000,30,0.003339700,true
rust,medio,grande,1000000,1000000,1,0.010375900,true
rust,medio,grande,1000000,1000000,2,0.009827600,true
rust,medio,grande,1000000,1000000,3,0.009896500,true
rust,medio,grande,1000000,1000000,4,0.010203300,true
rust,medio,grande,1000000,1000000,5,0.010234800,true
rust,medio,grande,1000000,1000000,6,0.010423200,true
rust,medio,grande,1000000,1000000,7,0.010473400,true
rust,medio,grande,1000000,1000000,8,0.011017900,true
rust,medio,grande,1000000,1000000,9,0.010317000,true
rust,medio,grande,1000000,1000000,10,0.010244900,true
rust,medio,grande,1000000,1000000,11,0.009866200,true
rust,medio,grande,1000000,1000000,12,0.009973600,true
rust,medio,grande,1000000,1000000,13,0.009832900,true
rust,medio,grande,1000000,1000000,14,0.010111200,true
rust,medio,grande,1000000,1000000,15,0.010096800,true
rust,medio,grande,1000000,1000000,16,0.010210100,true
rust,medio,grande,1000000,1000000,17,0.010174300,true
rust,medio,grande,1000000,1000000,18,0.010656300,true
rust,medio,grande,1000000,1000000,19,0.010751400,true
rust,medio,grande,1000000,1000000,20,0.010686900,true
rust,medio,grande,1000000,1000000,21,0.010588300,true
rust,medio,grande,1000000,1000000,22,0.010227100,true
rust,medio,grande,1000000,1000000,23,0.010232400,true
rust,medio,grande,1000000,1000000,24,0.010107500,true
rust,medio,grande,1000000,1000000,25,0.010284700,true
rust,medio,grande,1000000,1000000,26,0.010322700,true
rust,medio,grande,1000000,1000000,27,0.010166200,true
rust,medio,grande,1000000,1000000,28,0.010229400,true
rust,medio,grande,1000000,1000000,29,0.010165800,true
rust,medio,grande,1000000,1000000,30,0.010393600,true
rust,pior,grande,1000000,1000000,1,0.004515400,true
rust,pior,grande,1000000,1000000,2,0.004567700,true
rust,pior,grande,1000000,1000000,3,0.004461200,true
rust,pior,grande,1000000,1000000,4,0.004502600,true
rust,pior,grande,1000000,1000000,5,0.004530400,true
rust,pior,grande,1000000,1000000,6,0.004541400,true
rust,pior,grande,1000000,1000000,7,0.004656100,true
rust,pior,grande,1000000,1000000,8,0.004889700,true
rust,pior,grande,1000000,1000000,9,0.004555800,true
rust,pior,grande,1000000,1000000,10,0.004850400,true
rust,pior,grande,1000000,1000000,11,0.004553600,true
rust,pior,grande,1000000,1000000,12,0.004441500,true
rust,pior,grande,1000000,1000000,13,0.004433300,true
rust,pior,grande,1000000,1000000,14,0.004515800,true
rust,pior,grande,1000000,1000000,15,0.004560200,true
rust,pior,grande,1000000,1000000,16,0.004785900,true
rust,pior,grande,1000000,1000000,17,0.004462500,true
rust,pior,grande,1000000,1000000,18,0.004586900,true
rust,pior,grande,1000000,1000000,19,0.004516500,true
rust,pior,grande,1000000,1000000,20,0.004750600,true
rust,pior,grande,1000000,1000000,21,0.004438600,true
rust,pior,grande,1000000,1000000,22,0.004324900,true
rust,pior,grande,1000000,1000000,23,0.004398300,true
rust,pior,grande,1000000,1000000,24,0.004409500,true
rust,pior,grande,1000000,1000000,25,0.004945700,true
rust,pior,grande,1000000,1000000,26,0.004574500,true
rust,pior,grande,1000000,1000000,27,0.005135900,true
rust,pior,grande,1000000,1000000,28,0.004469000,true
rust,pior,grande,1000000,1000000,29,0.004678800,true
rust,pior,grande,1000000,1000000,30,0.004427600,true
