linguagem,caso,tamanho_label,n,k,execucao,tempo_segundos,ordenado
python,medio,grande,1000000,1000000,28,0.184457900,True
python,medio,grande,1000000,1000000,29,0.177745000,True
python,medio,grande,1000000,1000000,30,0.212353300,True
python,pior,grande,1000000,1000000,1,0.164891200,True
python,pior,grande,1000000,1000000,2,0.166893900,True
python,pior,grande,1000000,1000000,3,0.166623700,True
python,pior,grande,1000000,1000000,4,0.165348100,True
python,pior,grande,1000000,1000000,5,0.164636400,True
python,pior,grande,1000000,1000000,6,0.165518300,True
python,pior,grande,1000000,1000000,7,0.163536200,True
python,pior,grande,1000000,1000000,8,0.163471100,True
python,pior,grande,1000000,1000000,9,0.166007400,True
python,pior,grande,1000000,1000000,10,0.166993500,True
python,pior,grande,1000000,1000000,11,0.164343600,True
python,pior,grande,1000000,1000000,12,0.165521100,True
python,pior,grande,1000000,1000000,13,0.164248900,True
python,pior,grande,1000000,1000000,14,0.164995500,True
python,pior,grande,1000000,1000000,15,0.172250600,True
python,pior,grande,1000000,1000000,16,0.167484600,True
python,pior,grande,1000000,1000000,17,0.168086600,True
python,pior,grande,1000000,1000000,18,0.170998300,True
python,pior,grande,1000000,1000000,19,0.183899600,True
python,pior,grande,1000000,1000000,20,0.170318500,True
python,pior,grande,1000000,1000000,21,0.166970500,True
python,pior,grande,1000000,1000000,22,0.168024800,True
python,pior,grande,1000000,1000000,23,0.166085900,True
python,pior,grande,1000000,1000000,24,0.165312500,True
python,pior,grande,1000000,1000000,25,0.165747600,True
python,pior,grande,1000000,1000000,26,0.164136200,True
python,pior,grande,1000000,1000000,27,0.165347200,True
python,pior,grande,1000000,1000000,28,0.164529300,True
python,pior,grande,1000000,1000000,29,0.165762900,True
python,pior,grande,1000000,1000000,30,0.163301600,True
